num_routes,route_dist,worst_routes,worst_dist
35,1.2512748104929869,35,1.33930448497442
34,1.2639714514800175,35,1.3531846892674935
35,1.3151205720712369,34,1.2806238161348773
34,1.266116714137894,35,1.3443789425988513
34,1.2533958645281018,35,1.3402049513951084
34,1.2838780525493547,35,1.3594324418011894
35,1.2805141369257598,35,1.3574294903880713
35,1.2661852028583525,35,1.3515809792573634
33,1.2533195903140495,35,1.3463196533796236
35,1.2946998181260483,35,1.3433652961319922
36,1.33079923023314,35,1.3629218166252031
33,1.2699328549374087,35,1.3379990155010404
34,1.2837599303817768,35,1.3339429557436375
33,1.2226757444612275,35,1.3448525832719582
35,1.2893280893733419,35,1.3687081293995789
35,1.2470480499485461,35,1.3495879639341553
33,1.2222674329839975,35,1.3330546226054025
34,1.2609351060512637,35,1.3518350190418857
36,1.3372857977134629,35,1.3581413149312311
37,1.3535120479082394,35,1.3066981080410898
35,1.2809917649686184,35,1.3436636370233401
35,1.3105980797487859,35,1.3538315831590637
35,1.3169959575842967,35,1.3535524197451991
35,1.3023257233005125,35,1.3625864816410456
35,1.2737017786844547,35,1.3534428974647739
34,1.2615533487417281,35,1.3423887198386382
35,1.2965748183418384,35,1.3311150217012369
34,1.273259056981459,35,1.3189584060037447
33,1.245086915599515,35,1.3373470955254447
35,1.3333959286623127,35,1.3242690106613537
